iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,45,Humboldt,1,4,3,133122,412348,394730,2250169
2,36,Greene,1,4,3,133122,412348,403501,2241398
3,93,Webster,1,4,3,133122,412348,440500,2204399
4,7,Boone,1,4,2,133122,439063,440500,2177684
5,39,Hamilton,1,4,2,133122,454102,440500,2162645
6,94,Winnebago,1,4,3,133122,454102,451179,2151966
7,40,Hancock,1,4,3,133122,454102,461974,2141171
8,98,Wright,1,4,2,133122,467045,461974,2128228
9,97,Worth,1,4,3,133122,467045,469417,2120785
10,34,Franklin,1,4,2,133122,477064,469417,2110766
11,16,Cerro Gordo,1,4,3,133122,477064,512544,2067639
12,11,Butler,1,4,2,133122,491398,512544,2053305
13,33,Floyd,1,4,2,133122,507025,512544,2037678
14,65,Mitchell,1,4,2,133122,517590,512544,2027113
15,64,Mills,1,2,1,147606,503106,512544,2027113
16,4,Audubon,1,3,1,153280,503106,506870,2027113
17,13,Carroll,1,3,1,174040,503106,486110,2027113
18,35,Fremont,1,2,1,180645,496501,486110,2027113
19,68,Montgomery,1,2,1,190975,486171,486110,2027113
20,72,Page,1,2,1,206186,470960,486110,2027113
21,36,Greene,2,3,1,214957,470960,477339,2027113
22,93,Webster,2,3,1,251956,470960,440340,2027113
23,1,Adams,1,2,1,255660,467256,440340,2027113
24,86,Taylor,1,2,1,261556,461360,440340,2027113
25,0,Adair,1,2,1,269052,453864,440340,2027113
26,38,Guthrie,1,2,1,279675,443241,440340,2027113
27,79,Ringgold,1,2,1,284338,438578,440340,2027113
28,45,Humboldt,2,3,1,293935,438578,430743,2027113
29,87,Union,1,2,1,306073,426440,430743,2027113
30,40,Hancock,2,3,1,316868,426440,419948,2027113
