iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,57,Louisa,1,4,3,928812,406599,181230,1673728
2,91,Washington,1,4,3,928812,406599,203795,1651163
3,69,Muscatine,1,4,3,928812,406599,247030,1607928
4,81,Scott,1,4,3,928812,406599,421699,1433259
5,73,Palo Alto,1,4,2,928812,415595,421699,1424263
6,31,Emmet,1,4,2,928812,424983,421699,1414875
7,51,Johnson,1,4,3,928812,424983,574553,1262021
8,45,Humboldt,1,4,2,928812,434580,574553,1252424
9,54,Kossuth,1,4,2,928812,449408,574553,1237596
10,7,Boone,1,4,2,928812,476123,574553,1210881
11,94,Winnebago,1,4,2,928812,486802,574553,1200202
12,40,Hancock,1,4,2,928812,497597,574553,1189407
13,98,Wright,1,4,2,928812,510540,574553,1176464
14,39,Hamilton,1,4,2,928812,525579,574553,1161425
15,97,Worth,1,4,2,928812,533022,574553,1153982
16,84,Story,1,4,2,928812,631559,574553,1055445
17,61,Mahaska,1,4,3,928812,631559,596743,1033255
18,62,Marion,1,4,3,928812,631559,630157,999841
19,47,Iowa,1,4,3,928812,631559,646819,983179
20,16,Cerro Gordo,1,4,2,928812,674686,646819,940052
21,78,Poweshiek,1,4,3,928812,674686,665481,921390
22,67,Monroe,1,1,3,921235,674686,673058,921390
23,49,Jasper,1,4,3,921235,674686,710871,883577
24,82,Shelby,1,1,2,909489,686432,710871,883577
25,4,Audubon,1,1,2,903815,692106,710871,883577
26,38,Guthrie,1,1,2,893192,702729,710871,883577
27,77,Pottawattamie,1,1,2,799525,796396,710871,883577
28,15,Cedar,1,4,3,799525,796396,729376,865072
29,22,Clinton,1,4,3,799525,796396,775836,818612
30,48,Jackson,1,4,3,799525,796396,795321,799127
