iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,57,Louisa,1,2,4,657470,1265251,937900,329748
2,49,Jasper,1,2,4,657470,1227438,937900,367561
3,69,Muscatine,1,2,4,657470,1184203,937900,410796
4,51,Johnson,1,2,4,657470,1031349,937900,563650
5,63,Marshall,1,2,4,657470,991244,937900,603755
6,81,Scott,1,2,4,657470,816575,937900,778424
7,13,Carroll,1,3,1,678230,816575,917140,778424
8,36,Greene,1,3,1,687001,816575,908369,778424
9,42,Harrison,1,3,1,701583,816575,893787,778424
10,82,Shelby,1,3,1,713329,816575,882041,778424
11,4,Audubon,1,3,1,719003,816575,876367,778424
12,76,Polk,1,3,1,1211404,816575,383966,778424
13,4,Audubon,2,1,3,1205730,816575,389640,778424
14,76,Polk,2,1,3,713329,816575,882041,778424
15,4,Audubon,3,3,1,719003,816575,876367,778424
16,76,Polk,3,3,1,1211404,816575,383966,778424
17,4,Audubon,4,1,3,1205730,816575,389640,778424
18,76,Polk,4,1,3,713329,816575,882041,778424
19,4,Audubon,5,3,1,719003,816575,876367,778424
20,76,Polk,5,3,1,1211404,816575,383966,778424
21,82,Shelby,2,1,3,1199658,816575,395712,778424
22,42,Harrison,2,1,3,1185076,816575,410294,778424
23,66,Monona,1,1,3,1176325,816575,419045,778424
24,23,Crawford,1,1,3,1159800,816575,435570,778424
25,36,Greene,2,1,3,1151029,816575,444341,778424
26,7,Boone,1,1,3,1124314,816575,471056,778424
27,96,Woodbury,1,1,3,1018373,816575,576997,778424
28,46,Ida,1,1,3,1011368,816575,584002,778424
29,80,Sac,1,1,3,1001554,816575,593816,778424
30,74,Plymouth,1,1,3,975856,816575,619514,778424
31,17,Cherokee,1,1,3,964198,816575,631172,778424
32,83,Sioux,1,1,3,928326,816575,667044,778424
33,59,Lyon,1,1,3,916392,816575,678978,778424
34,10,Buena Vista,1,1,3,895569,816575,699801,778424
35,70,O'Brien,1,1,3,881387,816575,713983,778424
36,71,Osceola,1,1,3,875195,816575,720175,778424
37,20,Clay,1,1,3,858811,816575,736559,778424
38,29,Dickinson,1,1,3,841108,816575,754262,778424
39,75,Pocahontas,1,1,3,834030,816575,761340,778424
40,73,Palo Alto,1,1,3,825034,816575,770336,778424
41,31,Emmet,1,1,3,815646,816575,779724,778424
42,15,Cedar,1,2,4,815646,798070,779724,796929
43,45,Humboldt,1,1,3,806049,798070,789321,796929
44,54,Kossuth,1,1,3,791221,798070,804149,796929
