iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,57,Louisa,1,2,4,657470,1265251,937900,329748
2,49,Jasper,1,2,4,657470,1227438,937900,367561
3,69,Muscatine,1,2,4,657470,1184203,937900,410796
4,51,Johnson,1,2,4,657470,1031349,937900,563650
5,63,Marshall,1,2,4,657470,991244,937900,603755
6,81,Scott,1,2,4,657470,816575,937900,778424
7,13,Carroll,1,3,1,678230,816575,917140,778424
8,36,Greene,1,3,1,687001,816575,908369,778424
9,42,Harrison,1,3,1,701583,816575,893787,778424
10,82,Shelby,1,3,1,713329,816575,882041,778424
11,4,Audubon,1,3,1,719003,816575,876367,778424
12,76,Polk,1,3,1,1211404,816575,383966,778424
13,4,Audubon,2,1,3,1205730,816575,389640,778424
14,76,Polk,2,1,3,713329,816575,882041,778424
15,4,Audubon,3,3,1,719003,816575,876367,778424
16,76,Polk,3,3,1,1211404,816575,383966,778424
17,4,Audubon,4,1,3,1205730,816575,389640,778424
18,76,Polk,4,1,3,713329,816575,882041,778424
19,24,Dallas,1,3,1,813007,816575,782363,778424
20,15,Cedar,1,2,4,813007,798070,782363,796929
21,24,Dallas,2,1,3,713329,798070,882041,796929
22,24,Dallas,3,3,1,813007,798070,782363,796929
23,24,Dallas,4,1,3,713329,798070,882041,796929
24,38,Guthrie,1,3,1,723952,798070,871418,796929
25,77,Pottawattamie,1,3,1,817619,798070,777751,796929
26,77,Pottawattamie,2,1,3,723952,798070,871418,796929
27,77,Pottawattamie,3,3,1,817619,798070,777751,796929
28,77,Pottawattamie,4,1,3,723952,798070,871418,796929
29,0,Adair,1,3,1,731448,798070,863922,796929
30,60,Madison,1,3,1,747996,798070,847374,796929
31,87,Union,1,3,1,760134,798070,835236,796929
32,1,Adams,1,3,1,763838,798070,831532,796929
33,68,Montgomery,1,3,1,774168,798070,821202,796929
34,65,Mitchell,1,2,1,784733,787505,821202,796929
35,63,Marshall,2,4,1,824838,787505,821202,756824
36,63,Marshall,3,1,4,784733,787505,821202,796929
37,63,Marshall,4,4,1,824838,787505,821202,756824
38,84,Story,1,1,4,726301,787505,821202,855361
39,84,Story,2,4,1,824838,787505,821202,756824
40,63,Marshall,5,1,4,784733,787505,821202,796929
41,15,Cedar,2,4,2,784733,806010,821202,778424
42,15,Cedar,3,2,4,784733,787505,821202,796929
43,15,Cedar,4,4,2,784733,806010,821202,778424
44,85,Tama,1,2,4,784733,788875,821202,795559
45,49,Jasper,2,4,1,822546,788875,821202,757746
46,49,Jasper,3,1,4,784733,788875,821202,795559
47,63,Marshall,6,4,1,824838,788875,821202,755454
48,84,Story,3,1,4,726301,788875,821202,853991
49,84,Story,4,4,1,824838,788875,821202,755454
50,63,Marshall,7,1,4,784733,788875,821202,795559
51,49,Jasper,4,4,1,822546,788875,821202,757746
52,41,Hardin,1,1,4,805668,788875,821202,774624
53,34,Franklin,1,1,4,795649,788875,821202,784643
54,16,Cerro Gordo,1,1,4,752522,788875,821202,827770
55,16,Cerro Gordo,2,4,1,795649,788875,821202,784643
56,16,Cerro Gordo,3,1,4,752522,788875,821202,827770
57,16,Cerro Gordo,4,4,1,795649,788875,821202,784643
58,39,Hamilton,1,1,4,780610,788875,821202,799682
59,39,Hamilton,2,4,1,795649,788875,821202,784643
60,39,Hamilton,3,1,4,780610,788875,821202,799682
61,39,Hamilton,4,4,1,795649,788875,821202,784643
62,98,Wright,1,1,4,782706,788875,821202,797586
63,98,Wright,2,4,1,795649,788875,821202,784643
64,49,Jasper,5,1,4,757836,788875,821202,822456
65,34,Franklin,2,4,1,767855,788875,821202,812437
66,41,Hardin,2,4,1,784733,788875,821202,795559
67,63,Marshall,8,4,1,824838,788875,821202,755454
68,84,Story,5,1,4,726301,788875,821202,853991
69,85,Tama,2,4,1,743436,788875,821202,836856
70,78,Poweshiek,1,4,1,762098,788875,821202,818194
71,61,Mahaska,1,4,1,784288,788875,821202,796004
72,67,Monroe,1,4,1,791865,788875,821202,788427
73,67,Monroe,2,1,4,784288,788875,821202,796004
74,67,Monroe,3,4,1,791865,788875,821202,788427
75,67,Monroe,4,1,4,784288,788875,821202,796004
76,67,Monroe,5,4,1,791865,788875,821202,788427
77,67,Monroe,6,1,4,784288,788875,821202,796004
78,47,Iowa,1,4,1,800950,788875,821202,779342
79,47,Iowa,2,1,4,784288,788875,821202,796004
80,47,Iowa,3,4,1,800950,788875,821202,779342
81,47,Iowa,4,1,4,784288,788875,821202,796004
82,47,Iowa,5,4,1,800950,788875,821202,779342
83,47,Iowa,6,1,4,784288,788875,821202,796004
84,89,Wapello,1,4,1,819725,788875,821202,760567
85,89,Wapello,2,1,4,784288,788875,821202,796004
86,89,Wapello,3,4,1,819725,788875,821202,760567
87,89,Wapello,4,1,4,784288,788875,821202,796004
88,89,Wapello,5,4,1,819725,788875,821202,760567
89,89,Wapello,6,1,4,784288,788875,821202,796004
90,53,Keokuk,1,4,1,794321,788875,821202,785971
91,53,Keokuk,2,1,4,784288,788875,821202,796004
92,53,Keokuk,3,4,1,794321,788875,821202,785971
93,53,Keokuk,4,1,4,784288,788875,821202,796004
94,53,Keokuk,5,4,1,794321,788875,821202,785971
95,53,Keokuk,6,1,4,784288,788875,821202,796004
96,37,Grundy,1,2,1,796617,776546,821202,796004
97,65,Mitchell,2,1,2,786052,787111,821202,796004
