iteration,county_id,county_name,number_of_switches,old_district,new_district,dist1_pop,dist2_pop,dist3_pop,dist4_pop
1,90,Warren,1,2,3,714973,1266902,160425,1048069
2,79,Ringgold,1,2,3,714973,1262239,165088,1048069
3,87,Union,1,2,3,714973,1250101,177226,1048069
4,60,Madison,1,2,3,714973,1233553,193774,1048069
5,76,Polk,1,2,3,714973,741152,686175,1048069
6,49,Jasper,1,4,3,714973,741152,723988,1010256
7,56,Linn,1,4,1,945272,741152,723988,779957
8,25,Davis,1,1,3,936162,741152,733098,779957
9,89,Wapello,1,1,3,900725,741152,768535,779957
10,78,Poweshiek,1,1,3,882063,741152,787197,779957
11,56,Linn,2,1,4,651764,741152,787197,1010256
12,56,Linn,3,4,1,882063,741152,787197,779957
13,56,Linn,4,1,4,651764,741152,787197,1010256
14,56,Linn,5,4,1,882063,741152,787197,779957
15,47,Iowa,1,1,4,865401,741152,787197,796619
16,53,Keokuk,1,1,3,855368,741152,797230,796619
17,52,Jones,1,1,4,834722,741152,797230,817265
18,73,Palo Alto,1,4,2,834722,750148,797230,808269
19,31,Emmet,1,4,2,834722,759536,797230,798881
20,54,Kossuth,1,4,2,834722,774364,797230,784053
21,48,Jackson,1,1,4,815237,774364,797230,803538
22,39,Hamilton,1,4,2,815237,789403,797230,788499
23,22,Clinton,1,1,4,768777,789403,797230,834959
24,22,Clinton,2,4,1,815237,789403,797230,788499
25,22,Clinton,3,1,4,768777,789403,797230,834959
26,22,Clinton,4,4,1,815237,789403,797230,788499
27,22,Clinton,5,1,4,768777,789403,797230,834959
28,47,Iowa,2,4,1,785439,789403,797230,818297
29,52,Jones,2,4,1,806085,789403,797230,797651
30,88,Van Buren,1,1,3,798882,789403,804433,797651
31,87,Union,2,3,2,798882,801541,792295,797651
