Statistic,Reock Min,Reock Mean,Polsby-Popper Min,Polsby-Popper Mean
Mean,0.3583886899615352,0.4420646932799772,0.29783465955686794,0.3777483742050758
Minimum,0.1472627565078025,0.2796569871980291,0.1410412352927611,0.22502602265792998
Quartile 1,0.3163730290583696,0.4132456927061874,0.25250030666840667,0.3389323812481589
Median,0.365780553487955,0.44645256843118036,0.30337092762586904,0.38313487350392816
Quartile 3,0.4087282405488293,0.4794697139534251,0.34280643197217897,0.41826713144330924
Maximum,0.4984302797171159,0.5334030375745052,0.4194909099460902,0.4805840390176158
