seed,Reock_min,Reock_max,Reock_mean,PP_min,PP_max,PP_mean,min_pop,max_pop
000,0.3329510472056167,0.4278186894452727,0.36787710525250156,0.2351572618891366,0.3552423895610926,0.30299230468360655,790938,804784
001,0.4486816004811884,0.5671624402441323,0.5087314610574738,0.338437623582949,0.4988482502509105,0.435282401996799,791513,802747
003,0.4289806908078911,0.5624790149532929,0.49034833448227766,0.2944410025708954,0.3841211680322439,0.33981521702784945,791071,804852
004,0.3425673934148848,0.4315559825396026,0.3881219352627783,0.288225731088281,0.4097889446861958,0.35888158309971135,795671,800138
005,0.4602310419616947,0.5537762127316301,0.5123574824404398,0.4119539064722261,0.5454826674397367,0.45491380732566045,795792,798933
006,0.2389195508887253,0.4722895910881587,0.33068461806452165,0.1761965466117542,0.3791304615792923,0.2647305926148397,792723,803556
007,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.44768391015681613,791458,805288
008,0.4606779325818652,0.5961384130977362,0.5183784267318771,0.39285766310461,0.4909075877978973,0.4428618527992156,794109,801261
009,0.4552097333664777,0.5325820806036036,0.5064402459587436,0.3753589847650291,0.5641185895089695,0.46536392905596485,794870,802154
011,0.3054146737018099,0.5028107685705174,0.43530192558375136,0.2131986653363404,0.3742154114643523,0.3249865065786334,794203,801574
012,0.3880255712728057,0.5942867181114498,0.5020716371169932,0.283469293679458,0.4456060346774477,0.3944592035168879,791165,803348
013,0.3648790045228609,0.5580813668519242,0.44189897168953357,0.2126650244600256,0.4627053672005046,0.31385664482819814,793136,803050
014,0.3167416211926575,0.5580813668519242,0.41018937413888396,0.3739035202895215,0.4627053672005046,0.4233978804053618,793184,803050
016,0.3330253505111531,0.4703460754763019,0.4284165132438268,0.252850802717122,0.5408634033873773,0.36677252351570755,791221,804149
017,0.3532707518983417,0.4292597603338398,0.38281653515158803,0.287137358001242,0.3905709565593147,0.34093515291173637,793677,802492
018,0.2268598343691468,0.509061347080423,0.361320354196828,0.2167390652548841,0.445897408210657,0.3004422731430365,791639,805465
019,0.4414285695278265,0.5255736059870358,0.47937347043805767,0.3366113697954409,0.4292146376608516,0.38349583825045,792295,802780
020,0.4278425019898305,0.4703460754763019,0.4492285165708274,0.3778997622320308,0.5408634033873773,0.4529728283015663,790623,804747
022,0.3683718536391371,0.522167274891142,0.4394016931352592,0.3215955722575053,0.4388255938212978,0.3858168943625975,795001,800120
023,0.4606779325818652,0.5961384130977362,0.5183784267318771,0.39285766310461,0.4909075877978973,0.4428618527992156,794109,801261
024,0.4404082811497091,0.5314033852521116,0.4744935484331569,0.3220322738155103,0.4295173964183503,0.3835387361818745,794496,802650
025,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.44768391015681613,791458,805288
026,0.3237745056196044,0.5574647598004652,0.43584990651600153,0.2933352624091052,0.4921107517923508,0.3936131695147255,792601,802472
027,0.4765578285117575,0.5088819748254675,0.4899203671720338,0.3284193748908864,0.447845237503706,0.37477758909199305,794093,801621
028,0.3092115257000741,0.5114263535496738,0.4114484342782243,0.196131101851388,0.4457451951638042,0.3169040320566369,790102,805344
029,0.3011342476528106,0.4239624600832885,0.38538307507929664,0.2208287650950753,0.2873437131595863,0.24482303266927882,792724,800622
030,0.2161571924865273,0.4002595668480174,0.31513734593977155,0.2478206521048354,0.3847907376893614,0.3061426207556469,789947,805465
031,0.2160957904553378,0.4065211612515859,0.3161841612825581,0.2472581827662613,0.3842084668864346,0.30499646809927433,789669,805548
032,0.430399517409875,0.4978347523137108,0.46474750311707125,0.3197427971667017,0.5408949568580617,0.44297926164955637,790503,804399
033,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.44768391015681613,791458,805288
034,0.3789098079459863,0.5988851498107726,0.47889015520148387,0.3379643279165068,0.4727992193966159,0.42432275408000975,791293,801669
035,0.3218570950756716,0.6486600451085289,0.44916420382271577,0.2968552105361822,0.5931440688841566,0.4075584188013571,795312,800609
036,0.3719092970924793,0.5584447684078605,0.49354510887427616,0.3002803496433151,0.4551014211783578,0.3993055505466894,792295,801956
037,0.3662943039147066,0.5580813668519242,0.45319507008176646,0.2077560848231365,0.4627053672005046,0.31348238486776725,792768,803050
038,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.44768391015681613,791458,805288
039,0.3683718536391371,0.522167274891142,0.43940169313525923,0.3215955722575053,0.4388255938212978,0.38581689436259753,795001,800120
040,0.3044618235802621,0.4773456023327898,0.3820639061733007,0.3058208013251149,0.4403480160603619,0.38206562618487516,790516,802232
041,0.4848002915852281,0.513867423852949,0.4984055033078295,0.288495841071875,0.3713981127620118,0.32957013855722617,794093,801963
042,0.3885122976398859,0.6323227696329878,0.49882084043883296,0.342540609335712,0.5677501794865023,0.46001628087515056,791271,804099
043,0.391013517567485,0.5641373719966962,0.47815551088481345,0.3104442785134435,0.4303620756053662,0.3637573700510308,795965,800464
044,0.4216645810267955,0.5040313086958543,0.4534672217279512,0.3383149892034549,0.5087680649861854,0.41687491249163583,791033,800606
045,0.2817111937807549,0.3935931582285965,0.33641382121541774,0.1910785683680856,0.3266546888140678,0.25981357813250217,791574,801981
046,0.4555815740191231,0.6190521343418638,0.5118625142147026,0.4194909099460902,0.5408634033873773,0.4760231178428789,796929,798070
047,0.322161049896007,0.5377160983467726,0.41554078943919404,0.2972663964917127,0.4772816616675392,0.36458855360093756,791149,803812
048,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.4476839101568161,791458,805288
049,0.3885122976398859,0.6145626211403553,0.5015493385087463,0.3630924478048271,0.5677501794865023,0.46201597987891363,791715,803284
051,0.3572975863472807,0.6990737576728098,0.5026363713742245,0.3611547157373554,0.6089803629602365,0.4504910739000787,790912,805419
052,0.4078972662991944,0.6486600451085289,0.5231108274286247,0.4126088757906038,0.5931440688841566,0.46913607251048384,795321,799525
053,0.4486816004811884,0.54134214653317,0.5055718231985866,0.338437623582949,0.4988482502509105,0.40376343916929835,792728,801532
054,0.3495323589491573,0.5520770794023023,0.4773969583478378,0.2788305253447626,0.509582416348302,0.4039844832994318,796045,798947
055,0.4040454880225938,0.59932961139697,0.49577301157518305,0.4079877487828596,0.5139903931670011,0.45013403972970933,793011,802154
056,0.4979242629996093,0.5252732375221697,0.5138772355090508,0.3452263383137457,0.4565522330364497,0.39769242665552773,795038,799688
057,0.322161049896007,0.5375666533955116,0.4155394270211892,0.2968651206434469,0.4246816812579094,0.34295697183270835,791149,803655
058,0.3379334270894373,0.5260516466309414,0.4235752399027193,0.2307560333722525,0.509333407942774,0.31598629058855826,794922,802575
059,0.4111818218004532,0.5087256628469973,0.4521852817535967,0.3081187190133484,0.47800969960356,0.37768640788416685,791285,804852
060,0.2507303663363228,0.5580813668519242,0.44454445247568497,0.2034712069905517,0.509333407942774,0.40606066985309364,794769,803050
061,0.3815393510702158,0.498815551281988,0.4233553077536967,0.3777647949233396,0.4580968774043777,0.4234392464076173,792774,801091
062,0.2789691808893267,0.5437692323427825,0.4182995645525279,0.2615498611323901,0.3645965329792757,0.3110877948735377,791158,805226
063,0.3690749307003507,0.5018101585542046,0.4311796537299278,0.2439532188653619,0.4541757435005641,0.358820018618788,792885,802971
064,0.4149821510990319,0.4703460754763019,0.44501643901866056,0.3880612456904405,0.5408634033873773,0.4480719972110592,796929,798070
066,0.4848002915852281,0.513867423852949,0.49840550330782957,0.288495841071875,0.3713981127620118,0.32957013855722617,794093,801963
067,0.4149821510990319,0.4652041489004615,0.44500504701538596,0.3880612456904405,0.4909075877978973,0.4289247316033192,795559,799440
068,0.3248503123484181,0.5580813668519242,0.43643336503359587,0.2972652389345442,0.4818621539316284,0.39842311784472306,794468,803050
069,0.3331645230690652,0.5936238231889475,0.461850425642435,0.3357125014233398,0.4295173964183503,0.37616233250529624,789910,803727
070,0.3681194588513941,0.5388425771049007,0.4731710331812965,0.2778786578253103,0.371052037831288,0.334026618215269,791895,804539
071,0.4552097333664777,0.5444900380085367,0.5138116267132344,0.33182550270316,0.5749947465378304,0.4571995977977128,794870,802154
073,0.3744790911188473,0.5990125561543326,0.50434265792571,0.3452263383137457,0.4235242540175242,0.38931401912416796,795038,799688
074,0.4128777289930407,0.6190521343418638,0.486598792900472,0.383776083822552,0.5677501794865023,0.4805840390176158,791715,804565
075,0.3687879203478427,0.554518247474839,0.4784568870787269,0.335922154605498,0.4565572422584787,0.4165595112227235,796290,798465
076,0.3688702897367363,0.5659458577554098,0.46138792751640967,0.3633668992870096,0.5087680649861854,0.42797172975047065,792333,803541
079,0.2438804970532058,0.4186096866727486,0.3523547304932866,0.2475899861851032,0.4404164229595785,0.3442275629462406,790963,800649
080,0.2380108691666896,0.5039453762219627,0.3616315192487588,0.1910397096543722,0.4515080514115904,0.2946950496280135,789878,800829
082,0.3831695719835861,0.5580813668519242,0.4775314263490176,0.2860415966647044,0.4711406422626838,0.3820505529804071,791971,803050
083,0.2873849220480844,0.4923143762788687,0.41995347936930494,0.301043589170099,0.3952377801598245,0.3563255092460754,791044,802488
084,0.3043811338714626,0.3943433034740857,0.34772692048839043,0.2847323255400303,0.3351463862605877,0.3165995856113166,791463,801294
085,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.44768391015681613,791458,805288
086,0.2832168256410866,0.4776656053550109,0.39782053507894577,0.2783330909116364,0.447137726021053,0.34446175284772973,794696,800583
087,0.4149821510990319,0.552441038793396,0.4641457516151506,0.3383997762776901,0.4948680922759129,0.4163003860160931,794783,800216
088,0.351983649722032,0.5537762127316301,0.42025917905185856,0.3354706407375739,0.4119539064722261,0.3768134726285349,793347,802754
089,0.3785435135279752,0.5862280651251662,0.4684104500623358,0.3060796275297945,0.4516008383079162,0.4104082712749868,790727,803846
090,0.3784800786979791,0.478014342006517,0.42970470062573635,0.301165411412483,0.5361223534810524,0.4099743187013969,792034,802180
091,0.3972998543264721,0.6990737576728098,0.522144415853322,0.3070305635633043,0.6089803629602365,0.44258183857474986,791423,805419
092,0.4546260494659688,0.5537762127316301,0.5080035646740448,0.3641378843141596,0.5454826674397367,0.4239235499193269,795400,801346
093,0.4078972662991944,0.6486600451085289,0.5231108274286247,0.4126088757906038,0.5931440688841566,0.46913607251048384,795321,799525
094,0.4024127382593889,0.5428544289079438,0.4795017951252142,0.3541190243046819,0.467408567935172,0.40846896700800356,793975,803476
095,0.3781324988419002,0.4500461252776022,0.40062436055050166,0.2403150602201298,0.3351188339463753,0.2833636215641204,795387,800966
096,0.2351816304024895,0.447117791671722,0.33689833618317777,0.1848509814501019,0.4103173918382214,0.27288111854302183,792606,805548
097,0.4602310419616947,0.5334787375371983,0.5023986233130474,0.3295804377981364,0.4870242715563617,0.4197058411862943,795831,798933
098,0.3781362359561028,0.5580813668519242,0.47922071888578227,0.3650754764380168,0.5456511622584412,0.4548787342153646,791410,803538
100,0.3330253505111531,0.4703460754763019,0.4284165132438268,0.252850802717122,0.5408634033873773,0.36677252351570755,791221,804149
101,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.4476839101568161,791458,805288
102,0.3467123445755135,0.4985117557733991,0.44733643011314894,0.286080359509244,0.4292146376608476,0.3886628365113139,796433,798888
103,0.3824413703123039,0.5432109328726803,0.4841032287530309,0.366807643167821,0.5841092128475659,0.43595232335463896,794069,805129
104,0.3243646519964022,0.4460356744760596,0.40135381825817096,0.3105020426303187,0.4791710181165325,0.3874376241729504,791450,801853
105,0.2190365929020686,0.3687879203478433,0.2885310375604474,0.1410412352927611,0.4333143337941458,0.2343193258626048,793831,799859
106,0.2994196933662476,0.4703892507440948,0.3990967270446261,0.3462761794643388,0.4303620756053662,0.3757192165381038,797322,797788
107,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.4476839101568161,791458,805288
108,0.3886113746228901,0.5135344924342206,0.46712493212523415,0.2926555767081045,0.41386839773236,0.353718410994782,795771,800056
109,0.2575206757155581,0.4189441011262019,0.30955740963894085,0.2211226076516567,0.3414274039688456,0.2791620258707679,792298,802623
110,0.4149821510990324,0.4703460754763021,0.4450164390186606,0.3880612456904332,0.5408634033873708,0.4480719972110557,796929,798070
111,0.430399517409875,0.470385286636881,0.4513370785752369,0.2488519189677464,0.5081383513088312,0.37749349154119216,794092,802685
112,0.4078972662991951,0.648660045108528,0.5231108274286246,0.4126088757906,0.5931440688841516,0.46913607251048084,795321,799525
113,0.4244627048101157,0.4531268500338763,0.4419406824475185,0.2759527686325678,0.4299524460773621,0.35641488257476434,789632,804915
114,0.3939835296926878,0.5520770794023023,0.4679586173995697,0.2788074254685403,0.4897011905033369,0.36819198949789755,794819,801968
115,0.4303995174098759,0.5506619136641907,0.48640569627266383,0.3596446842300628,0.5050821456739091,0.44586089730852907,795577,801007
116,0.2434746812762307,0.4682593145949088,0.36539755978344673,0.1859860215264424,0.3842745129309105,0.28480381164998336,793948,803465
118,0.3296453927985304,0.5007923117005461,0.42897828346221634,0.1896762997051838,0.4565750229295502,0.33182904515569234,791789,800281
120,0.370661153137342,0.5998070655860179,0.48754629140113204,0.3633703521675215,0.5139903931670011,0.4279301701660605,791870,802154
121,0.2992782290940859,0.4846388130153,0.43663436623871155,0.1714115836551882,0.4565750229295502,0.35289015910053,790309,803343
122,0.4602310419616947,0.5537762127316301,0.5123574824404398,0.4119539064722261,0.5454826674397367,0.45491380732566045,795792,798933
123,0.3406534319363661,0.5104330383015675,0.42766049426339847,0.2850828414805583,0.3941826587244494,0.34729726980805153,790372,802977
124,0.2507303663363228,0.5580813668519243,0.4445444524756851,0.203471206990553,0.5093334079427706,0.40606066985308964,794769,803050
125,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.4476839101568162,791458,805288
126,0.2454033870403582,0.4649717512642936,0.334243127944585,0.1871402322425802,0.3153685389708072,0.27146190265295467,790393,805427
127,0.322161049896007,0.5375666533955116,0.4155394270211892,0.2968651206434469,0.4246816812579094,0.34295697183270835,791149,803655
128,0.4092778545185839,0.5326728010170212,0.46363909980944273,0.2927216863140939,0.509582416348302,0.38777173499745143,793093,799243
129,0.2319294221460414,0.498511755773399,0.3792620483119651,0.2033669218384096,0.4292146376608516,0.29942198578534235,792875,803686
130,0.3126868952143359,0.4200476198404378,0.35769670672890125,0.2854998993525789,0.5081399859543781,0.35654591086299414,795064,799984
131,0.4386824803177094,0.5082383463217091,0.47374798806330104,0.2730587263268523,0.4988482502509105,0.3563739764974363,794418,800842
132,0.449411411517513,0.5420660135097282,0.5110348493041447,0.3803519040485981,0.5682594475303265,0.45286343078501884,790471,803505
133,0.4749588861480527,0.5659458577554098,0.5191870512715833,0.3517662255266952,0.5478643980666281,0.4271668266375074,794093,803541
134,0.2835008976170304,0.5800523966327513,0.4545197741608402,0.2951989935378674,0.6446376684606033,0.4689701546211774,790135,803940
135,0.4984302797171159,0.5428544289079438,0.51606932431702,0.3579979641607403,0.5050821456739074,0.4311678341235673,790372,803476
136,0.3592526130285002,0.5018101585542046,0.44583392002245814,0.3323855616911422,0.4541757435005641,0.3863411712214873,791453,803276
137,0.3652668030612034,0.5326728010170212,0.4388615320106035,0.355290649114968,0.5253665403135551,0.4458783033150453,792123,801414
138,0.3615603146604881,0.5120226018360802,0.44986624949472376,0.39285766310461,0.4909075877978973,0.43405104671902306,792009,803361
139,0.3963817079215405,0.5327931831043519,0.45777301257928515,0.3304150510736762,0.3776490498530216,0.36219786423822,792033,799575
140,0.2745550063114308,0.5571885163719171,0.4264004032686354,0.219774530369962,0.4960924826247596,0.33351799381351177,792691,800583
142,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.4476839101568161,791458,805288
143,0.4106289863832705,0.5027104831558884,0.4590064689036665,0.3485062408404668,0.4923266316240022,0.41713110566068257,792217,804011
144,0.3444630596412829,0.4215358001853436,0.381697211185035,0.2582486214429696,0.4078768723426405,0.32617838446643715,796316,799877
145,0.373591306949581,0.5321952302127215,0.4514229613971722,0.2372692128449926,0.3943941906570625,0.3364270216042011,791892,801541
146,0.2283388682939867,0.6036123021420131,0.3711417154740896,0.1741394952724407,0.6525257734764202,0.3171457925930956,793142,803146
147,0.4163419407206375,0.4878194947705561,0.45894608809020776,0.3289846332998937,0.4710051487222773,0.4116100243912598,794397,803955
148,0.4245854435240536,0.5658581642894958,0.47184214630261917,0.2295261278190638,0.5361223534810478,0.35318960152238255,790741,802604
149,0.4967741265725976,0.5313716223091506,0.5164902365849541,0.3543291490001978,0.5063116924941838,0.44047428764761104,794403,800335
150,0.220773231765475,0.38419499800212,0.30305004478363307,0.2523834746521682,0.4329096312002419,0.32806339886438923,795709,799365
151,0.3614188375489383,0.5203705790131943,0.4382789720867174,0.2993683671591908,0.4295173964183503,0.3730431806661336,794496,802169
152,0.4606779325818652,0.5418257454629202,0.4998510377355639,0.3912664659805808,0.5203688190484169,0.4488501339828763,795250,800120
153,0.4011560136723361,0.5082383463217091,0.4459362404071634,0.338437623582949,0.4386224153618037,0.3876392327648592,793369,804198
154,0.389217346351934,0.6275522249135265,0.456810189961221,0.3123746886722207,0.4085779748108996,0.35871784542152224,794360,802458
155,0.2992913099477649,0.5587887815496521,0.4260535338488337,0.265938174575231,0.4066751152139297,0.3516192838703791,790978,801960
156,0.2856662227036025,0.5112065025781216,0.3837205358275037,0.3173266820816288,0.4929688627030129,0.39117846263260536,792105,802633
157,0.3349465536737133,0.5206658328569191,0.44538500900651434,0.4031062685705717,0.5408634033873773,0.4468578748980544,795713,799657
158,0.4700743120977443,0.6095203429168847,0.5104557383804245,0.4160360884734875,0.4167233991884575,0.4164860047728058,791458,805288
160,0.2591262711571068,0.345648039433267,0.2968710396093609,0.1714083458851457,0.3481373596290666,0.22502602265792998,790601,802517
161,0.4216645810267955,0.5520168340492775,0.4852553293927896,0.3086927083534563,0.497127246359989,0.40655913762258705,794711,800606
162,0.3191494635240933,0.4652041489004616,0.4124065912451364,0.3516636323010083,0.490907587797888,0.41172403173352906,790933,805307
163,0.4012161088023698,0.4703460754763019,0.4261862420807019,0.1971970528579368,0.5408634033873773,0.3274954354892406,794120,799503
164,0.4700743120977442,0.5537762127316301,0.5030184957351856,0.4119539064722261,0.5454826674397367,0.44768391015681613,791458,805288
165,0.4322097560715079,0.5790566757319279,0.5074736832545077,0.2958469463841682,0.502029080000126,0.40776895201593655,790383,805301
166,0.3480514137174444,0.5100763199942642,0.43820876895363664,0.294588884280667,0.5089945474672788,0.3827739087574063,793542,802491
167,0.3017823160564546,0.5565735222778639,0.42384453083479057,0.3046581262863242,0.3952149511512646,0.33851753974098714,791453,805189
168,0.4149821510990324,0.4652041489004616,0.44500504701538607,0.3880612456904332,0.490907587797888,0.4289247316033138,795559,799440
169,0.3863278447436777,0.5838489387896976,0.49339350812427674,0.3407704505737478,0.5093334079427706,0.4095899315289928,796260,799003
170,0.287793804634364,0.583540553323504,0.4030294313332821,0.2467970387458471,0.4123721199467033,0.31951292762448547,791911,803583
171,0.3203333771376893,0.5551624896048615,0.4646397502843721,0.3250577842648836,0.502029080000126,0.4009650645804671,790383,801288
172,0.3330253505111531,0.4652041489004615,0.4284051212405522,0.252850802717122,0.4909075877978973,0.34762525790796744,791221,804149
173,0.3170871996194975,0.4531268500338763,0.37939628350693844,0.3220262047808325,0.4299524460773621,0.37800871388614504,791293,803616
174,0.4033975316150945,0.6990737576728097,0.5314322344903445,0.3428950395176679,0.6089803629602387,0.4659703937578075,790056,805419
175,0.2745550063114307,0.5571885163719161,0.42640040326863504,0.2197745303699609,0.4960924826247522,0.3335179938135071,792691,800583
176,0.2780761363132037,0.4761400480933717,0.3327424713384465,0.1856375096099934,0.4370335633128392,0.275857356051155,792963,803564
178,0.4765578285117574,0.5088819748254688,0.48992036717203474,0.3284193748908808,0.4478452375037107,0.37477758909199244,794093,801621
180,0.3289693091099277,0.4289806908078905,0.3863185492228819,0.2915618436143657,0.4221849230850477,0.3386381026549287,793514,804852
182,0.3842927554127407,0.586554953269958,0.4908254128956393,0.3072031772340952,0.5093334079427706,0.3771730973749282,792197,801502
183,0.2623087248959495,0.4608593700451499,0.4015212809806638,0.2552098811719103,0.4281299279993559,0.3516157023137839,795008,800313
187,0.4244627048101155,0.5723696836433976,0.4732667942951521,0.3812464018081213,0.4732999446207239,0.42169930614856055,790110,804529
188,0.3297684604959698,0.396544569742626,0.36432492242711534,0.303495592521168,0.3930194470383121,0.3378269900289266,792518,804565
193,0.4089056010868133,0.5618606465446294,0.49129553169958406,0.211686630299147,0.5631323598768525,0.3851313840795871,791098,802949
195,0.3997293897864097,0.5801210270361911,0.4927881035348045,0.2869169147836179,0.3726886610076247,0.31809901909315713,792960,802492
198,0.4301725358907499,0.55377621273163,0.48905969040747954,0.346484313864847,0.5454826674397324,0.46119607279104313,795792,798676
201,0.2661361671584259,0.5078016628022376,0.43534003258893883,0.2723873879722169,0.4422517831187702,0.33751191533954816,792527,801261
202,0.3785435135279752,0.5862280651251662,0.4684104500623358,0.3060796275297945,0.4516008383079162,0.4104082712749868,790727,803846
205,0.1935023879001971,0.6990737576728098,0.42599128161661687,0.2173581351665247,0.6089803629602365,0.3789556313023469,789729,805419
206,0.3127213489716117,0.5577488893165082,0.3974839796932678,0.2393404169912096,0.4369860241618106,0.31719451009685623,793900,805344
207,0.4606779325818652,0.6323227696329878,0.5098123496868974,0.342540609335712,0.4909075877978973,0.41944267060457624,791271,804099
210,0.3863278447436774,0.5862280651251662,0.48187946439230844,0.3407704505737545,0.4516008383079162,0.4187175245690928,795570,799003
211,0.4504548119555887,0.5621591168875807,0.5079369737664724,0.3543291490001978,0.5063116924941838,0.44580919534883745,793285,802346
221,0.2496139173160384,0.6990737576728098,0.4042275071639665,0.1829076144101002,0.6089803629602365,0.36191790979400024,791772,805419
223,0.330688192093226,0.5193682426184191,0.42301259333381447,0.2869440345056905,0.3800755187697863,0.3331080611959012,794186,802197
226,0.4042152218798097,0.4802027502879081,0.44696889645519733,0.3105738876914369,0.4174384355111693,0.37263812560468057,793300,801054
236,0.293644767661004,0.4002595668480174,0.3385650040370045,0.186782770694693,0.306477298659454,0.2688597939379125,791548,805465
245,0.3981020069989739,0.6619633420121945,0.5099455739730842,0.4079877487828596,0.5139903931670011,0.45586780332814725,793346,802154
248,0.300589728499176,0.5326728010170212,0.4294127786053572,0.1862592533565139,0.509582416348302,0.3241508531962876,793681,801769
251,0.3021251268409639,0.4531268500338763,0.3988405119441941,0.3481246830151197,0.4299524460773621,0.3865664616311481,791046,804077
253,0.1862800132986312,0.3397001002888755,0.2796569871980291,0.1445775752923226,0.3229610085186768,0.23005623683378645,790611,803955
257,0.3472505958902621,0.4712030118316053,0.4166869120857115,0.3304339697932497,0.4173748418118753,0.36701988087434245,793050,803696
