county_id,NAME10,dem_votes,rep_votes,indep_votes,og_district
0,Adair ,973,2166,,3
1,Adams ,510,1126,,3
2,Allamakee ,1932,3820,,2
3,Appanoose ,1412,3249,,3
4,Audubon ,633,1639,51,4
5,Benton ,3912,7428,,2
6,Black Hawk ,24345,22776,,2
7,Boone ,4070,6614,270,4
8,Bremer ,3128,5028,,2
9,Buchanan ,4428,6576,,2
10,Buena Vista ,1316,3602,74,4
11,Butler ,1730,4279,,2
12,Calhoun ,883,2846,89,4
13,Carroll ,1871,5829,150,4
14,Cass ,1602,3579,,3
15,Cedar ,3133,4762,,1
16,Cerro Gordo ,7672,9137,,2
17,Cherokee ,975,3402,73,4
18,Chickasaw ,1746,3199,,2
19,Clarke ,1075,2250,,3
20,Clay ,1528,4692,106,4
21,Clayton ,2528,4844,,2
22,Clinton ,7059,9742,,1
23,Crawford ,918,3267,98,4
24,Dallas ,21239,22814,,3
25,Davis ,813,2133,,3
26,Decatur ,835,1890,,3
27,Delaware ,2279,5356,,2
28,Des Moines ,5756,7693,,1
29,Dickinson ,2190,5917,122,4
30,Dubuque ,17980,20884,,2
31,Emmet ,823,2407,60,4
32,Fayette ,2825,4714,,2
33,Floyd ,2304,3377,,2
34,Franklin ,866,2630,63,4
35,Fremont ,659,1780,83,4
36,Greene ,1307,2246,,3
37,Grundy ,1505,3862,,2
38,Guthrie ,1632,3359,,3
39,Hamilton ,1654,3808,147,4
40,Hancock ,1012,3190,88,4
41,Hardin ,2037,4486,,2
42,Harrison ,1338,3891,142,4
43,Henry ,2183,4673,,1
44,Howard ,1206,2154,,2
45,Humboldt ,2925,784,71,4
46,Ida ,492,2169,39,4
47,Iowa ,2596,4723,0,1
48,Jackson ,2732,4853,0,1
49,Jasper ,5578,9292,0,1
50,Jefferson ,3204,3274,0,1
51,Johnson ,45469,18120,0,1
52,Jones ,3123,5003,0,1
53,Keokuk ,990,2769,0,1
54,Kossuth ,1668,4864,99,4
55,Lee ,4441,6970,0,1
56,Linn ,51725,41818,0,2
57,Louisa ,987,2480,0,1
58,Lucas ,995,2417,0,3
59,Lyon ,523,4368,42,4
60,Madison ,2492,4984,,3
61,Mahaska ,1865,6080,,1
62,Marion ,4235,9842,,1
63,Marshall ,4633,7256,267,4
64,Mills ,1508,3856,148,4
65,Mitchell ,1481,2735,,2
66,Monona ,792,2364,63,4
67,Monroe ,794,2106,,3
68,Montgomery ,1155,2351,,3
69,Muscatine ,5406,7744,,1
70,O'Brien ,811,4419,76,4
71,Osceola ,271,1959,41,4
72,Page ,1562,3534,,3
73,Palo Alto ,867,2625,56,4
74,Plymouth ,1770,7734,136,4
75,Pocahontas ,537,2181,60,4
76,Polk ,108401,81903,,3
77,Pottawattamie ,10310,17178,1230,4
78,Poweshiek ,3135,4339,,2
79,Ringgold ,600,1435,,3
80,Sac ,777,2998,85,4
81,Scott ,29963,33380,,1
82,Shelby ,1054,3385,100,4
83,Sioux ,1281,12665,113,4
84,Story ,19628,16015,815,4
85,Tama ,2408,4203,,2
86,Taylor ,577,1660,,3
87,Union ,1611,2869,,3
88,Van Buren ,4445,5135,,1
89,Wapello ,3951,6438,,3
90,Warren ,9517,14046,,1
91,Washington ,3290,5376,,1
92,Wayne ,581,1753,,3
93,Webster ,3802,7826,246,4
94,Winnebago ,1303,2924,101,4
95,Winneshiek ,4445,5135,,2
96,Woodbury ,9601,18234,533,4
97,Worth ,1189,2031,,2
98,Wright ,1082,3008,98,4
